,matchDate,matchround,teamh,teama,goalsh,goalsa,halfGoalsh,halfGoalsa,oddsh,oddsd,oddsa,year,country,division,female
0,2014-08-16 18:30,1,Arsenal,Crystal Palace,2,1,1,1,1.22,5.1,10.5,2015,England,1,0
1,2014-08-16 16:00,1,Leicester,Everton,2,2,1,2,2.7,3.15,2.35,2015,England,1,0
2,2014-08-16 13:45,1,Manchester United,Swansea,1,2,0,1,1.27,4.75,8.8,2015,England,1,0
3,2014-08-16 16:00,1,Queens Park Rangers,Hull,0,1,0,0,2.3,3.15,2.8,2015,England,1,0
4,2014-08-16 16:00,1,Stoke,Aston Villa,0,1,0,0,1.85,3.2,3.85,2015,England,1,0
5,2014-08-16 16:00,1,West Bromwich,Sunderland,2,2,1,1,2.1,3.15,3.15,2015,England,1,0
6,2014-08-16 16:00,1,West Ham,Tottenham,0,1,0,0,3.5,3.2,1.95,2015,England,1,0
7,2014-08-17 14:30,1,Liverpool,Southampton,2,1,1,0,1.27,4.75,8.8,2015,England,1,0
8,2014-08-17 17:00,1,Newcastle,Manchester City,0,2,0,1,4.85,3.85,1.55,2015,England,1,0
9,2014-08-18 21:00,1,Burnley,Chelsea,1,3,1,3,8.5,4.45,1.3,2015,England,1,0
10,2014-08-23 13:45,2,Aston Villa,Newcastle,0,0,0,0,2.35,3.15,2.7,2015,England,1,0
11,2014-08-23 16:00,2,Chelsea,Leicester,2,0,0,0,1.15,6.0,13.25,2015,England,1,0
12,2014-08-23 16:00,2,Crystal Palace,West Ham,1,3,0,2,2.3,3.15,2.8,2015,England,1,0
13,2014-08-23 18:30,2,Everton,Arsenal,2,2,2,0,2.6,3.15,2.45,2015,England,1,0
14,2014-08-23 16:00,2,Southampton,West Bromwich,0,0,0,0,1.8,3.25,4.05,2015,England,1,0
15,2014-08-23 16:00,2,Swansea,Burnley,1,0,1,0,1.55,3.85,4.85,2015,England,1,0
16,2014-08-24 14:30,2,Hull,Stoke,1,1,1,0,2.3,3.15,2.8,2015,England,1,0
17,2014-08-24 17:00,2,Sunderland,Manchester United,1,1,1,1,4.5,3.35,1.7,2015,England,1,0
18,2014-08-24 14:30,2,Tottenham,Queens Park Rangers,4,0,3,0,1.4,4.2,6.25,2015,England,1,0
19,2014-08-25 21:00,2,Manchester City,Liverpool,3,1,1,0,1.8,3.25,4.05,2015,England,1,0
20,2014-08-30 13:45,3,Burnley,Manchester United,0,0,0,0,4.85,3.85,1.55,2015,England,1,0
21,2014-08-30 18:30,3,Everton,Chelsea,3,6,1,2,3.5,3.2,1.95,2015,England,1,0
22,2014-08-30 16:00,3,Manchester City,Stoke,0,1,0,0,1.12,6.85,13.95,2015,England,1,0
23,2014-08-30 16:00,3,Newcastle,Crystal Palace,3,3,1,1,1.65,3.5,4.55,2015,England,1,0
24,2014-08-30 16:00,3,Queens Park Rangers,Sunderland,1,0,1,0,2.3,3.15,2.8,2015,England,1,0
25,2014-08-30 16:00,3,Swansea,West Bromwich,3,0,2,0,1.8,3.25,4.05,2015,England,1,0
26,2014-08-30 16:00,3,West Ham,Southampton,1,3,1,1,2.75,3.2,2.3,2015,England,1,0
27,2014-08-31 14:30,3,Aston Villa,Hull,2,1,2,0,2.3,3.15,2.8,2015,England,1,0
28,2014-08-31 17:00,3,Leicester,Arsenal,1,1,1,1,4.5,3.35,1.7,2015,England,1,0
29,2014-08-31 14:30,3,Tottenham,Liverpool,0,3,0,1,2.5,3.15,2.55,2015,England,1,0
30,2014-09-13 13:45,4,Arsenal,Manchester City,2,2,0,1,2.55,3.2,2.45,2015,England,1,0
31,2014-09-13 16:00,4,Chelsea,Swansea,4,2,1,1,1.22,5.2,10.0,2015,England,1,0
32,2014-09-13 16:00,4,Crystal Palace,Burnley,0,0,0,0,2.1,3.15,3.15,2015,England,1,0
33,2014-09-13 18:30,4,Liverpool,Aston Villa,0,1,0,1,1.2,5.5,10.5,2015,England,1,0
