,matchDate,matchRound,teamh,teama,goalsh,goalsa,halfGoalsh,halfGoalsa,year,country,division,female
0,3/14/2009 20:00,1,Stabæk,Lillestrøm,1,1,0,0,2009,Norway,1,0
1,3/15/2009 18:00,1,Bodø/Glimt,Fredrikstad,1,1,0,1,2009,Norway,1,0
2,3/15/2009 18:00,1,Strømsgodset,Start,3,3,0,1,2009,Norway,1,0
3,3/15/2009 18:00,1,Viking,Odd,3,0,3,0,2009,Norway,1,0
4,3/15/2009 18:00,1,Aalesund,Tromsø,1,1,1,0,2009,Norway,1,0
5,3/15/2009 20:00,1,Rosenborg,Vålerenga,3,0,1,0,2009,Norway,1,0
6,3/15/2009 18:00,1,Lyn,Molde,0,1,0,0,2009,Norway,1,0
7,3/16/2009 19:00,1,Sandefjord,Brann,3,1,1,0,2009,Norway,1,0
8,3/21/2009 16:00,2,Vålerenga,Aalesund,1,1,1,1,2009,Norway,1,0
9,3/22/2009 18:00,2,Molde,Bodø/Glimt,3,1,1,0,2009,Norway,1,0
10,3/22/2009 18:00,2,Start,Lyn,1,1,1,0,2009,Norway,1,0
11,3/22/2009 20:00,2,Brann,Stabæk,1,1,1,0,2009,Norway,1,0
12,3/22/2009 18:00,2,Lillestrøm,Viking,1,1,0,0,2009,Norway,1,0
13,3/22/2009 18:00,2,Odd,Sandefjord,2,0,2,0,2009,Norway,1,0
14,3/22/2009 18:00,2,Fredrikstad,Strømsgodset,2,0,1,0,2009,Norway,1,0
15,3/23/2009 19:00,2,Tromsø,Rosenborg,2,4,0,3,2009,Norway,1,0
16,4/4/2009 16:00,3,Viking,Start,0,1,0,1,2009,Norway,1,0
17,4/5/2009 18:00,3,Bodø/Glimt,Lyn,0,2,0,0,2009,Norway,1,0
18,4/5/2009 18:00,3,Strømsgodset,Molde,0,2,0,1,2009,Norway,1,0
19,4/5/2009 18:00,3,Sandefjord,Fredrikstad,1,1,0,0,2009,Norway,1,0
20,4/5/2009 18:00,3,Aalesund,Lillestrøm,3,1,2,0,2009,Norway,1,0
21,4/5/2009 20:00,3,Rosenborg,Brann,1,1,0,0,2009,Norway,1,0
22,4/5/2009 18:00,3,Stabæk,Odd,3,3,0,2,2009,Norway,1,0
23,4/6/2009 19:00,3,Vålerenga,Tromsø,2,4,1,3,2009,Norway,1,0
24,4/8/2009 18:00,4,Start,Rosenborg,1,2,1,0,2009,Norway,1,0
25,4/13/2009 18:00,4,Molde,Sandefjord,1,1,1,1,2009,Norway,1,0
26,4/13/2009 18:00,4,Bodø/Glimt,Strømsgodset,1,0,0,0,2009,Norway,1,0
27,4/13/2009 18:00,4,Lyn,Viking,0,0,0,0,2009,Norway,1,0
28,4/13/2009 18:00,4,Brann,Tromsø,2,4,1,4,2009,Norway,1,0
29,4/13/2009 20:00,4,Lillestrøm,Vålerenga,1,2,0,1,2009,Norway,1,0
30,4/13/2009 18:00,4,Odd,Aalesund,4,2,2,2,2009,Norway,1,0
31,4/14/2009 19:00,4,Fredrikstad,Stabæk,0,1,0,0,2009,Norway,1,0
32,4/18/2009 16:00,5,Tromsø,Lillestrøm,1,1,0,0,2009,Norway,1,0
33,4/19/2009 20:00,5,Vålerenga,Brann,1,1,1,1,2009,Norway,1,0
